iter	Passed	Remaining
0	0	666
1	1	625
2	1	598
3	2	599
4	2	595
5	3	560
6	3	537
7	4	544
8	4	548
9	5	552
10	6	554
11	6	551
12	7	553
13	7	551
14	8	554
15	9	558
16	9	561
17	10	569
18	10	567
19	11	558
20	11	556
21	12	561
22	13	559
23	13	558
24	14	557
25	14	555
26	15	545
27	15	542
28	16	541
29	16	540
30	17	537
31	17	536
32	18	538
33	18	534
34	19	533
35	19	532
36	20	528
37	20	525
38	21	523
39	21	520
40	22	518
41	22	516
42	23	514
43	23	512
44	23	509
45	24	506
46	24	503
47	25	501
48	25	499
49	26	494
50	26	489
51	26	487
52	27	486
53	27	482
54	28	481
55	28	480
56	28	479
57	29	478
58	29	477
59	30	476
60	30	474
61	31	474
62	31	474
63	32	473
64	32	472
65	33	471
66	33	470
67	34	470
68	34	469
69	35	468
70	35	467
71	36	466
72	36	464
73	37	464
74	37	463
75	37	460
76	38	460
77	38	459
78	39	458
79	39	457
80	40	456
81	40	457
82	41	456
83	41	456
84	42	455
85	42	455
86	43	454
87	43	454
88	44	453
89	44	452
90	45	452
91	45	451
92	46	450
93	46	451
94	47	451
95	47	449
96	48	448
97	48	447
98	49	447
99	49	446
100	50	446
101	50	445
102	51	445
103	51	444
104	52	443
105	52	442
106	52	442
107	53	441
108	53	441
109	54	441
110	55	442
111	55	442
112	56	443
113	57	444
114	57	444
115	58	444
116	59	445
117	59	446
118	60	447
119	61	447
120	61	446
121	62	446
122	62	446
123	63	446
124	63	445
125	64	444
126	64	444
127	65	444
128	65	443
129	66	443
130	66	443
131	67	442
132	67	442
133	68	441
134	68	441
135	69	441
136	70	440
137	70	440
138	71	440
139	71	440
140	72	440
141	72	439
142	73	439
143	73	439
144	74	438
145	74	438
146	75	437
147	75	437
148	76	436
149	76	435
150	77	435
151	77	434
152	78	433
153	78	432
154	79	431
155	79	430
156	80	430
157	80	429
158	81	428
159	81	428
160	82	427
161	82	427
162	83	426
163	83	425
164	84	425
165	84	424
166	84	423
167	85	422
168	85	422
169	86	421
170	86	421
171	87	420
172	87	419
173	88	419
174	88	418
175	89	418
176	89	417
177	90	416
178	90	416
179	91	416
180	91	415
181	92	414
182	92	413
183	93	413
184	93	412
185	94	412
186	94	410
187	94	410
188	95	409
189	95	409
190	96	408
191	96	407
192	97	406
193	97	406
194	98	405
195	98	404
196	99	404
197	99	403
198	100	403
199	100	402
200	101	402
201	101	401
202	102	400
203	102	400
204	103	399
205	103	399
206	104	398
207	104	398
208	105	397
209	105	396
210	105	396
211	106	395
212	106	395
213	107	394
214	107	394
215	108	393
216	108	392
217	109	392
218	109	392
219	110	391
220	110	391
221	111	390
222	111	389
223	112	388
224	112	388
225	113	387
226	113	386
227	114	386
228	114	385
229	115	385
230	115	384
231	115	383
232	116	383
233	116	382
234	117	382
235	117	381
236	118	381
237	119	381
238	119	380
239	119	379
240	120	379
241	120	378
242	121	378
243	121	377
244	122	377
245	122	376
246	123	376
247	123	375
248	124	375
249	124	374
250	125	374
251	125	373
252	126	373
253	126	372
254	127	372
255	127	371
256	128	371
257	128	370
258	129	370
259	129	369
260	130	369
261	130	368
262	131	368
263	131	367
264	132	367
265	132	366
266	133	366
267	133	365
268	134	365
269	134	364
270	135	364
271	135	363
272	136	363
273	136	362
274	137	362
275	137	361
276	138	361
277	138	360
278	139	360
279	139	359
280	140	358
281	140	358
282	141	357
283	141	357
284	142	356
285	142	356
286	143	355
287	143	355
288	144	354
289	144	354
290	145	353
291	145	353
292	146	352
293	146	352
294	147	351
295	147	351
296	148	350
297	148	350
298	149	349
299	149	349
300	150	348
301	150	348
302	150	347
303	151	346
304	152	346
305	152	345
306	153	345
307	153	344
308	154	344
309	154	344
310	155	343
311	155	343
312	156	342
313	156	342
314	157	342
315	157	341
316	158	341
317	158	340
318	159	340
319	159	339
320	160	339
321	160	338
322	161	338
323	161	337
324	162	337
325	162	336
326	163	336
327	163	335
328	164	335
329	164	334
330	165	334
331	165	333
332	166	333
333	167	333
334	167	332
335	168	332
336	168	331
337	169	331
338	169	330
339	170	330
340	170	329
341	171	329
342	171	328
343	171	327
344	172	327
345	172	326
346	173	326
347	173	325
348	174	325
349	174	324
350	175	324
351	175	323
352	176	323
353	176	322
354	177	322
355	177	321
356	178	321
357	178	320
358	179	320
359	179	319
360	180	319
361	180	318
362	181	317
363	181	317
364	182	316
365	182	316
366	183	315
367	183	315
368	184	314
369	184	314
370	185	313
371	185	312
372	185	312
373	186	311
374	186	311
375	187	310
376	187	310
377	188	309
378	188	309
379	189	308
380	189	308
381	190	307
382	190	307
383	191	306
384	191	306
385	192	305
386	192	305
387	193	304
388	193	303
389	194	303
390	194	302
391	194	302
392	195	301
393	195	301
394	196	300
395	196	300
396	197	299
397	197	299
398	198	298
399	198	298
400	199	297
401	199	297
402	200	296
403	200	296
404	201	295
405	201	295
406	202	294
407	202	294
408	203	293
409	203	293
410	204	292
411	204	292
412	205	291
413	205	291
414	205	290
415	206	289
416	206	289
417	207	288
418	207	288
419	208	287
420	208	287
421	209	286
422	209	286
423	210	285
424	210	285
425	211	284
426	211	284
427	212	283
428	212	283
429	213	282
430	213	281
431	214	281
432	214	280
433	214	280
434	215	279
435	215	279
436	216	278
437	216	278
438	217	277
439	217	277
440	218	276
441	219	276
442	219	276
443	220	275
444	220	275
445	221	274
446	221	273
447	221	273
448	222	273
449	223	272
450	223	272
451	224	271
452	224	271
453	225	270
454	225	270
455	226	269
456	226	269
457	227	268
458	227	268
459	228	267
460	228	267
461	229	266
462	229	266
463	230	265
464	230	265
465	231	265
466	231	264
467	232	264
468	232	263
469	233	262
470	233	262
471	234	262
472	235	261
473	235	261
474	236	261
475	236	260
476	237	260
477	237	259
478	238	259
479	238	258
480	239	258
481	239	257
482	240	257
483	240	256
484	241	256
485	242	256
486	242	255
487	243	255
488	244	254
489	244	254
490	245	254
491	245	253
492	246	253
493	246	252
494	247	252
495	247	251
496	248	251
497	248	250
498	249	250
499	249	249
500	250	249
501	250	248
502	251	248
503	251	247
504	252	247
505	252	246
506	253	246
507	253	245
508	254	245
509	254	244
510	255	244
511	255	243
512	256	243
513	256	242
514	257	242
515	257	241
516	258	241
517	258	240
518	259	240
519	259	239
520	260	239
521	260	238
522	261	238
523	261	237
524	262	237
525	262	236
526	263	236
527	263	235
528	264	235
529	264	234
530	265	234
531	265	233
532	266	233
533	266	232
534	267	232
535	267	231
536	268	231
537	268	230
538	269	230
539	270	230
540	270	229
541	271	229
542	271	228
543	272	228
544	272	227
545	273	227
546	274	226
547	274	226
548	275	226
549	275	225
550	276	225
551	276	224
552	277	224
553	277	223
554	278	223
555	278	222
556	279	222
557	279	221
558	280	221
559	280	220
560	281	220
561	281	219
562	282	219
563	282	218
564	283	218
565	283	217
566	284	217
567	284	216
568	285	216
569	285	215
570	286	215
571	286	214
572	287	214
573	287	213
574	288	213
575	288	212
576	289	211
577	289	211
578	290	210
579	290	210
580	291	209
581	291	209
582	292	208
583	292	208
584	293	208
585	293	207
586	294	207
587	294	206
588	295	206
589	295	205
590	296	205
591	296	204
592	297	204
593	297	203
594	298	202
595	298	202
596	299	201
597	299	201
598	300	201
599	300	200
600	301	200
601	301	199
602	302	198
603	302	198
604	303	197
605	303	197
606	304	196
607	304	196
608	305	195
609	305	195
610	305	194
611	306	194
612	306	193
613	307	193
614	308	192
615	308	192
616	309	191
617	309	191
618	309	190
619	310	190
620	310	189
621	311	189
622	311	188
623	312	188
624	312	187
625	313	187
626	313	186
627	314	186
628	314	185
629	315	185
630	315	184
631	316	184
632	316	183
633	317	183
634	317	182
635	318	182
636	318	181
637	319	181
638	319	180
639	320	180
640	320	179
641	321	179
642	321	178
643	322	178
644	322	177
645	323	177
646	323	176
647	324	176
648	324	175
649	325	175
650	325	174
651	326	174
652	326	173
653	327	173
654	327	172
655	328	172
656	328	171
657	329	171
658	330	170
659	330	170
660	331	169
661	331	169
662	332	169
663	333	168
664	333	168
665	334	167
666	335	167
667	335	166
668	336	166
669	336	165
670	337	165
671	338	165
672	338	164
673	339	164
674	339	163
675	340	163
676	340	162
677	341	162
678	342	161
679	342	161
680	343	160
681	343	160
682	344	159
683	344	159
684	345	158
685	346	158
686	346	158
687	347	157
688	348	157
689	348	156
690	349	156
691	349	155
692	350	155
693	350	154
694	351	154
695	351	153
696	352	153
697	353	152
698	353	152
699	354	151
700	354	151
701	355	150
702	355	150
703	356	149
704	356	149
705	357	148
706	357	148
707	358	147
708	358	147
709	359	146
710	360	146
711	360	145
712	361	145
713	361	144
714	362	144
715	362	143
716	363	143
717	363	142
718	364	142
719	364	141
720	365	141
721	365	140
722	366	140
723	366	139
724	367	139
725	368	138
726	368	138
727	369	137
728	369	137
729	369	136
730	370	136
731	370	135
732	371	135
733	371	134
734	372	134
735	372	133
736	373	133
737	373	132
738	374	132
739	375	131
740	375	131
741	376	130
742	376	130
743	377	129
744	377	129
745	378	128
746	378	128
747	379	127
748	379	127
749	380	126
750	380	126
751	380	125
752	381	125
753	382	124
754	382	124
755	383	123
756	383	123
757	384	122
758	384	122
759	385	121
760	385	121
761	386	120
762	386	120
763	387	119
764	387	119
765	388	118
766	388	118
767	389	117
768	390	117
769	390	116
770	391	116
771	391	115
772	391	115
773	392	114
774	392	114
775	393	113
776	393	113
777	394	112
778	394	111
779	395	111
780	395	110
781	396	110
782	396	109
783	397	109
784	397	108
785	398	108
786	399	107
787	399	107
788	400	107
789	400	106
790	401	106
791	401	105
792	402	105
793	402	104
794	403	103
795	403	103
796	404	103
797	405	102
798	405	102
799	406	101
800	406	101
801	407	100
802	407	100
803	408	99
804	408	99
805	409	98
806	409	98
807	410	97
808	411	97
809	411	96
810	412	96
811	412	95
812	413	95
813	414	94
814	414	94
815	415	93
816	415	93
817	416	92
818	416	92
819	417	91
820	418	91
821	418	90
822	419	90
823	419	89
824	420	89
825	420	88
826	421	88
827	421	87
828	422	87
829	422	86
830	423	86
831	424	85
832	424	85
833	425	84
834	425	84
835	426	83
836	426	83
837	427	82
838	428	82
839	428	81
840	429	81
841	429	80
842	430	80
843	431	79
844	431	79
845	432	78
846	433	78
847	433	77
848	434	77
849	434	76
850	435	76
851	435	75
852	436	75
853	437	74
854	437	74
855	438	73
856	439	73
857	439	72
858	440	72
859	440	71
860	441	71
861	441	70
862	442	70
863	442	69
864	443	69
865	444	68
866	444	68
867	445	67
868	445	67
869	446	66
870	446	66
871	447	65
872	448	65
873	449	64
874	449	64
875	450	63
876	451	63
877	452	62
878	453	62
879	453	61
880	454	61
881	455	60
882	456	60
883	456	59
884	457	59
885	458	59
886	459	58
887	460	58
888	461	57
889	461	57
890	462	56
891	463	56
892	464	55
893	465	55
894	465	54
895	466	54
896	467	53
897	468	53
898	468	52
899	469	52
900	470	51
901	470	51
902	471	50
903	472	50
904	472	49
905	473	49
906	474	48
907	475	48
908	476	47
909	477	47
910	478	46
911	479	46
912	480	45
913	481	45
914	481	44
915	482	44
916	483	43
917	484	43
918	484	42
919	485	42
920	486	41
921	487	41
922	488	40
923	489	40
924	490	39
925	491	39
926	492	38
927	493	38
928	494	37
929	494	37
930	495	36
931	496	36
932	497	35
933	498	35
934	499	34
935	500	34
936	501	33
937	502	33
938	503	32
939	504	32
940	505	31
941	506	31
942	506	30
943	507	30
944	508	29
945	509	29
946	510	28
947	511	28
948	512	27
949	513	27
950	514	26
951	515	25
952	515	25
953	516	24
954	517	24
955	518	23
956	518	23
957	519	22
958	520	22
959	521	21
960	522	21
961	522	20
962	523	20
963	524	19
964	525	19
965	526	18
966	526	17
967	527	17
968	528	16
969	528	16
970	529	15
971	530	15
972	530	14
973	531	14
974	532	13
975	533	13
976	534	12
977	534	12
978	535	11
979	536	10
980	537	10
981	537	9
982	538	9
983	539	8
984	540	8
985	541	7
986	541	7
987	542	6
988	543	6
989	543	5
990	544	4
991	544	4
992	545	3
993	545	3
994	546	2
995	546	2
996	547	1
997	547	1
998	548	0
999	548	0
